From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;9887;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
2919;2943;;-1;-1;-1;-1;-1;HORMUZ_STRAIT;hormuz
3314;6336;sea;2752;2885;1578;2890;1581;;Afsluitdijk

###CDL NEW
3340;6334;sea;2358;-1;-1;-1;-1;;Usedom-Wolin
362;11265;sea;2309;-1;-1;-1;-1;;Gdansk-Konigsberg
11064;13268;sea;3195;-1;-1;-1;-1;;Scotland-Orkney
6062;13269;sea;3590;-1;-1;-1;-1;;Hebrides Pass
11266;13269;sea;3590;-1;-1;-1;-1;;Scotland-Hebrides Lower
4178;13270;sea;225;-1;-1;-1;-1;;Greece-Kefalonia
6550;13266;sea;7226;-1;-1;-1;-1;;Chios-Samos
7130;13266;sea;7226;-1;-1;-1;-1;;Turkey-Samos
849;6864;sea;7678;-1;-1;-1;-1;;Galipoli
6449;13267;sea;2871;-1;-1;-1;-1;;Normandy-Chanel Isles
2196;13302;sea;5394;-1;-1;-1;-1;;Zanzibar
1513;10440;sea;7230;-1;-1;-1;-1;;Bahama-Turks
2729;2408;sea;6257;2949;1598;2962;1612;HANSEATIC_CANAL;Hamburg
2756;5709;sea;13300;-1;-1;-1;-1;NICARAGUA_CANAL;Nicaragua
8642;13157;sea;12149;-1;-1;-1;-1;LAWRENCE_RIVER;St Lawrence
13154;13157;sea;749;-1;-1;-1;-1;;Niagara River
13154;13199;sea;13156;-1;-1;-1;-1;;Sainte-Claire River
13200;13159;sea;5205;-1;-1;-1;-1;;Sainte-Marie River

## SAHARA CROSSINGS
10875;13313;sea;10838;-1;-1;-1;-1;;Rio de oro-Zouerat
13313;13312;sea;10838;-1;-1;-1;-1;;Zouerat-Bir Moghrein
10779;13312;sea;10838;-1;-1;-1;-1;;Rio de oro-Bir Moghrein
13312;13327;sea;10838;-1;-1;-1;-1;;Bir Moghrein - Tindouf
1126;13318;sea;5095;-1;-1;-1;-1;;Tlemcen - Berriane
5035;13319;sea;5095;-1;-1;-1;-1;;Tlemcen - Ouargla
12842;13320;sea;5095;-1;-1;-1;-1;;Tlemcen - Timimoun
13318;13320;sea;5095;-1;-1;-1;-1;;Berriane - Timimoun
13318;13319;sea;5095;-1;-1;-1;-1;;Berriane - Ourgla
13319;13321;sea;5095;-1;-1;-1;-1;;Ourgla - El Menia
13320;13322;sea;5095;-1;-1;-1;-1;;Timimoun - Adrar
13322;13327;sea;5095;-1;-1;-1;-1;;Adrar - Tindouf
13321;13323;sea;5095;-1;-1;-1;-1;;El Menia - In Salah
13322;13323;sea;5095;-1;-1;-1;-1;;Adrar - In Salah
13323;13342;sea;5095;-1;-1;-1;-1;;In Salah - Tamdjert
13342;13326;sea;5095;-1;-1;-1;-1;;Tamdjert - Tamanrasset
13326;13343;sea;5095;-1;-1;-1;-1;;Tamanrasset - In Guezzam
13343;4913;sea;5095;-1;-1;-1;-1;;In Guezzam - Niger
13342;13325;sea;5095;-1;-1;-1;-1;;Tamdjert - Djanet
13343;13325;sea;5095;-1;-1;-1;-1;;In Guezzam - Djanet
13325;13324;sea;5095;-1;-1;-1;-1;;Djanet - Awbari
13325;13377;sea;5095;-1;-1;-1;-1;;Djanet - Ghat
4913;13314;sea;1956;-1;-1;-1;-1;;Niger - Iferouane
10917;13315;sea;1956;-1;-1;-1;-1;;Niger - Dabaga
13314;13315;sea;1956;-1;-1;-1;-1;;Iferouane - Dabaga
13315;13316;sea;1956;-1;-1;-1;-1;;Dabaga - Fachi
13316;13317;sea;1956;-1;-1;-1;-1;;Fachi - Segeudine
13317;13325;sea;1956;-1;-1;-1;-1;;Segeudine - Djanet
13317;13337;sea;1956;-1;-1;-1;-1;;Segeudine - Zouar
12866;13328;sea;12022;-1;-1;-1;-1;;Tripolitania - Waddan
13328;13329;sea;12022;-1;-1;-1;-1;;Waddan - Sabha
13329;13324;sea;12022;-1;-1;-1;-1;;Sabha - Awbari
13329;13330;sea;12022;-1;-1;-1;-1;;Sabha - Al Wigh
13377;13330;sea;12022;-1;-1;-1;-1;;Ghat - Al Wigh
13329;13332;sea;12022;-1;-1;-1;-1;;Sabha - Tazirbu
13330;13317;sea;12022;-1;-1;-1;-1;;Al Wigh - Segeudine
12082;13331;sea;1994;-1;-1;-1;-1;;Jaghbub - Jikharra
13331;13332;sea;1994;-1;-1;-1;-1;;Jikharra - Tazirbu
13332;13333;sea;1994;-1;-1;-1;-1;;Tazirbu - Buzaymah
13333;13334;sea;1994;-1;-1;-1;-1;;Buzaymah - Al Jawf
13333;13335;sea;1994;-1;-1;-1;-1;;Buzaymah - Ma'tan as Sarah
13334;13335;sea;1994;-1;-1;-1;-1;;Al Jawf - Ma'tan as Sarah
13335;13336;sea;1994;-1;-1;-1;-1;;Ma'tan as Sarah - Aouzou
13336;13337;sea;1994;-1;-1;-1;-1;;Aouzou - Zouar
13336;13338;sea;1994;-1;-1;-1;-1;;Aouzou - Fada
4191;13337;sea;1994;-1;-1;-1;-1;;Chad - Zouar
4902;13338;sea;1994;-1;-1;-1;-1;;Chad - Fada
1028;13341;sea;12099;-1;-1;-1;-1;;Egypt - Kharga
7216;13339;sea;12099;-1;-1;-1;-1;;Egypt - Farafra
13339;13340;sea;12099;-1;-1;-1;-1;;Farafra - Dakhla
13340;13341;sea;12099;-1;-1;-1;-1;;Dakhla - Kharga
13334;13340;sea;12099;-1;-1;-1;-1;;Al Jawf - Dakhla
-1;-1;;-1;-1;-1;-1;-1;-1
